"domain_code","domain","area_code_m49","area","element_code","element","item_code_cpc","species","year_code","year","unit","value","flag","flag_description","note"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1999,1999,"An",13537000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2000,2000,"An",7001600,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2000,2000,"An",5139000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2000,2000,"An",12300000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2000,2000,"An",13808000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2001,2001,"An",7078600,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2001,2001,"An",5256000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2001,2001,"An",12700000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2001,2001,"An",14084000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2002,2002,"An",7156000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2002,2002,"An",5319000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2002,2002,"An",12750000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2002,2002,"An",14324000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2003,2003,"An",7200000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",2003,2003,"An",5350000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",2003,2003,"An",13000000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",2003,2003,"An",14350000,"E","Estimated value",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",2004,2004,"An",7210000,"E","Estimated value",""
